CODIGO,FOTO,DESCRIPCION DEL PRODUCTO,REFERENCIA,REFERENCIA 2,LOCALIZACION,CODIGO BARRA,CODIGO F.,ACTIVO,DEP 1,DEP 2,DEP 3,DEP 4,DEP 5,DEP 6,DEP 7,STOCK,a Retirar
145-8,N/D,SILLA P/ HOVERBOARD BLANCO INTERBRAS,,,,1018,,S,5,,,,,,,5,1
146-5,N/D,SILLA P/ HOVERBOARD NEGRO INTERBRAS,,,,1019,,S,164,,,,,2,,166,3
177-9,N/D,SMD300 SENDING CARD SMD 300,,,,1779,1779,S,51,,,,,,,51,
164-9,N/D,TRAVA RAPIDA P3.9 INDOOR,,,,1649,1649,S,50,,,,,,,50,
169-4,N/D,TRAVA RAPIDA P3.9 OUTDOOR,,,,1694,1694,S,50,,,,,,,50,
179-3,N/D,VX1000 PROCESADORA VX1000 C/CASE,,,,1793,1793,S,25,,,,,,,25,
149-6,N/D,X - BAG SCOOTER INTERBRAS,,,,1118,,S,,,,,403,,,403,
212-7,N/D,AIRE ACOND ITB 12000BTU IV INTERBRAS,12000 INV,,,10000000,2127,S,,,,,,2,,2,
213-4,N/D,AIRE ACOND ITB 12000BTU ON/OF INTERBRAS,12000 ON/OF,,,10000001,2134,S,,,,,,2,,2,
106-9,N/D,AIRE ACOND ITB 24000BTU IV INTERBRAS,24000BTU,,,1001,,S,,,,,,2,,2,
215-8,N/D,AIRE ACOND ITB 24000BTU IV+ WIFI,24000 WIFI,,,1000023,2158,S,,,,,,1,,1,
245-5,N/D,AIR FRYER S10PY BLANCO INTERBRAS,,,,2455,2455,S,1,,,,,,,1,
246-2,N/D,AIR FRYER S10PY NEGRO INTERBRAS,,,,2462,2462,S,1,,,,,,,1,
107-6,N/D,BALANZA 800 KG INTERBRAS 96,,,,1022,,S,,,,,14,,,14,
108-3,N/D,BATIDORA B20 PY INTERBRAS,B20,,,1104,,S,276,,,,,4,,280,
109-0,N/D,BATIDORA B30 PY INTERBRAS,B30,,,1002,,S,370,,,,,,,370,
111-3,N/D,CAFETERA E10 PY INTERBRAS,E10,,,1003,,S,1088,,,,,4,,1092,10
113-7,N/D,HERVIDORA ELETRICA  T20PY INTERBRAS BLANCO,T20,,,1109,,S,524,,,,,,,524,
114-4,N/D,HERVIDORA ELETRICA INOX T10PY INTERBRAS,T10,,,1005,,S,547,,,,,1,,548,
